session_id;participant_id;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60f6a6ff6a29bfb1b5a778d9;5efdf8ccefaeac0a69c051f3;APPROVED;2021-07-20 10:35:43.040000;2021-07-20 11:08:36.010000;1972.97;36;87;2;99;2021-07-20 14:25:03.346000;51867BAD;Greece;Greece;Part-Time;Greek;English, Greek;Greece;Male;No
60f6a6b57c2810d49c6a684f;5efe595eced436365993926b;APPROVED;2021-07-20 10:34:32.743000;2021-07-20 11:03:45.351000;1.752.608;23;12;0;100;2021-07-20 14:25:42.302000;51867BAD;Poland;Poland;Due to start a new job within the next month;Polish;English, Polish;Poland;Male;Yes
60f58ecfed0109247128b049;5f0f5a88a751ba0f5f47fe31;APPROVED;2021-07-19 14:40:15.660000;2021-07-19 14:40:24.157000;8.497;19;181;1;100;2021-07-20 08:17:44.661000;8BC0E20F;Ireland;Ireland;DATA EXPIRED;English;English, Gaelic;Ireland;Male;Yes
60f68f2c95fbd46654aa07f4;5f105271a8af7c163ce00e14;APPROVED;2021-07-20 08:54:05.365000;2021-07-20 09:22:58.586000;1.733.221;19;25;0;100;2021-07-20 14:26:29.980000;51867BAD;China;United Kingdom;DATA EXPIRED;English;English;United Kingdom;Female;DATA EXPIRED
60f69ec37e5c18e5480c5b72;5f1191e8b8e92c0129a26f96;APPROVED;2021-07-20 10:00:43.761000;2021-07-20 10:31:25.090000;1.841.329;21;28;0;100;2021-07-20 14:27:20.136000;51867BAD;Poland;Poland;Full-Time;DATA EXPIRED;English, Polish;Poland;Female;Yes
60f6908203455d5c0af7cd99;5f1559cf6daab40120b1634e;APPROVED;2021-07-20 09:00:00.713000;2021-07-20 09:28:39.382000;1.718.669;22;48;0;100;2021-07-20 14:28:06.606000;51867BAD;Spain;Spain;Unemployed (and job seeking);Spanish;English, French, Spanish;Spain;Female;Yes
60f6a6da90972a45796c8bc0;5f16dd98d5816400089a1cb5;APPROVED;2021-07-20 10:35:10.482000;2021-07-20 11:10:00.144000;2.089.662;52;125;1;100;2021-07-20 14:28:46.628000;51867BAD;Portugal;Portugal;Unemployed (and job seeking);Portuguese;English, Portuguese, Spanish;Portugal;Male;No
60f590237ce22ac4ad01d978;5f1b12b1312e282b013218b2;APPROVED;2021-07-19 14:45:55.515000;2021-07-19 15:18:08.680000;1.933.165;24;55;0;100;2021-07-20 08:18:37.794000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;Polish, English, German;Poland;Male;No
60f6a6c7baddcf7b2772bd58;5f1f52f09c3159141e330cbe;APPROVED;2021-07-20 10:35:30.291000;2021-07-20 11:01:41.199000;1.570.908;45;50;0;100;2021-07-20 14:30:14.547000;51867BAD;Greece;Greece;Full-Time;Greek;English, Greek;Greece;Male;No
60f5ae54e26e098332714e6a;5f1fa3ea0a82d11cc6c47b65;APPROVED;2021-07-19 16:54:44.276000;2021-07-19 17:29:16.569000;2.072.293;19;122;0;100;2021-07-20 08:19:18.359000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;English, Polish;Poland;Female;Yes
60f69d8916dc185fac53085f;5f243becb7bc1f00080bc2a9;APPROVED;2021-07-20 09:55:21.184000;2021-07-20 10:21:39.378000;1.578.194;34;119;0;100;2021-07-20 14:31:13.474000;51867BAD;Slovenia;Slovenia;DATA EXPIRED;Slovenian;Slovenian, English;Slovenia;Male;DATA EXPIRED
60f6a6da75f9b3e129f4e244;5f28a0b984cfc61f36d4d957;APPROVED;2021-07-20 10:39:11.140000;2021-07-20 11:14:37.591000;2.126.451;24;48;0;100;2021-07-20 14:32:02.532000;51867BAD;Switzerland;Portugal;Due to start a new job within the next month;Portuguese;English, Portuguese;Portugal;Female;Yes
60f589e87955b3072f858bf5;5f28fe5de9735523a46857d1;APPROVED;2021-07-19 14:19:23.869000;2021-07-19 14:58:00.877000;2.317.008;39;49;1;100;2021-07-20 08:20:28.518000;51867BAD;Poland;Poland;Full-Time;Polish;English, Polish;Poland;Female;Yes
60f69954858fe978e493a99c;5f32c3e05ea32f045de06491;APPROVED;2021-07-20 09:37:27.282000;2021-07-20 10:04:34.040000;1.626.758;27;73;0;100;2021-07-20 14:33:06.842000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;Yes
60f6936d13c3fd69181099a1;5f37e8722fd48928dcfb96a9;APPROVED;2021-07-20 09:12:13.345000;2021-07-20 09:39:30.893000;1.637.548;20;80;1;100;2021-07-20 14:34:03.820000;51867BAD;Japan;Poland;Other;Polish;English, Japanese, Polish, Russian;Poland;Male;Yes
60f6904d7eb6896949f1c97a;5f3efd5c620e851cfb6968be;APPROVED;2021-07-20 08:58:53.592000;2021-07-20 09:25:48.995000;1.615.403;21;49;0;100;2021-07-20 14:34:40.998000;51867BAD;Poland;Poland;Full-Time;Polish;Polish, English;Poland;Male;Yes
60f6a6b62872df7d535b4a9d;5f468185fdf3cf046a287a2d;APPROVED;2021-07-20 10:34:30.215000;2021-07-20 11:08:23.598000;2.033.383;19;79;1;100;2021-07-20 14:35:32.702000;51867BAD;Poland;Poland;Other;Polish;English, Polish, French;Poland;Male;Yes
60f695585b0f2eff35c31936;5f5bcddf6352f037a52239f2;APPROVED;2021-07-20 09:21:05.937000;2021-07-20 09:59:19.019000;2.293.082;43;33;0;100;2021-07-20 14:37:13.916000;51867BAD;Venezuela, Bolivarian Republic of;Spain;DATA EXPIRED;Spanish;English, Spanish;Spain;Female;DATA EXPIRED
60f6a6f04a5bbad0f37ebd6b;5f5e2b126352f0691ad71e33;APPROVED;2021-07-20 10:35:28.124000;2021-07-20 11:46:10.328000;4.242.204;20;115;0;100;2021-07-20 14:38:07.593000;51867BAD;Italy;Italy;Unemployed (and job seeking);Italian;Italian, English;Italy;Male;Yes
60f69bba512ea521e7d7aa52;5f625b3986ac2529e787517f;APPROVED;2021-07-20 09:57:04.025000;2021-07-20 10:28:25.867000;1.881.842;41;47;0;100;2021-07-20 14:38:52.763000;51867BAD;Czech Republic;Czech Republic;Full-Time;Czech;Czech, English;Czech Republic;Male;No
60f6a6e1ef50ee09824aab86;5f6cdf7bc061431080ba1040;APPROVED;2021-07-20 10:35:13.006000;2021-07-20 11:02:25.493000;1.632.487;19;109;0;100;2021-07-20 14:39:25.615000;51867BAD;Czech Republic;Czech Republic;Other;Czech;Czech, English;Czech Republic;Male;Yes
60f69cd9b422c4bea43abdba;5f6e43703c9b10356959ec6c;APPROVED;2021-07-20 09:52:27.198000;2021-07-20 10:30:34.094000;2.286.896;39;87;0;100;2021-07-20 14:40:26.675000;51867BAD;Vietnam;Portugal;DATA EXPIRED;Vietnamese;English, Vietnamese, Rather not say;Vietnam;Female;DATA EXPIRED
60f6a6deb0cef2b1b9120146;5f6f611965c55c4d88995234;APPROVED;2021-07-20 10:35:10.910000;2021-07-20 11:12:22.385000;2.231.475;41;81;1;100;2021-07-20 14:41:32.341000;51867BAD;Slovenia;Slovenia;DATA EXPIRED;Slovenian;Croatian, German, English, Serbian, Slovenian;Slovenia;Male;DATA EXPIRED
60f58fd82f694312a338a93b;5f7368d243984b07c2223568;APPROVED;2021-07-19 14:44:47.836000;2021-07-19 15:09:55.941000;1.508.105;21;89;0;100;2021-07-20 08:21:03.407000;51867BAD;Portugal;Portugal;Other;Portuguese;Portuguese, English;Portugal;Male;Yes
60f6a6c3474b14c59aa10c23;5f7b2ba3700c320760772a8e;APPROVED;2021-07-20 10:34:43.431000;2021-07-20 11:33:52.060000;3.548.629;23;32;0;100;2021-07-20 14:42:24.568000;51867BAD;Portugal;Portugal;Unemployed (and job seeking);Portuguese;Portuguese, English;Portugal;Male;No
60f6a70e5765fcc7399cf501;5f830f1644cc14447b03305c;APPROVED;2021-07-20 10:36:23.383000;2021-07-20 11:08:01.350000;1.897.967;20;86;0;100;2021-07-20 14:43:01.319000;51867BAD;Poland;Poland;Not in paid work (e.g. homemaker', 'retired or disabled);Polish;Polish, English, Russian;Poland;Female;Yes
60f69dae8913075c13b111c8;5f92e67c3cc3b10407327c19;APPROVED;2021-07-20 09:55:58.425000;2021-07-20 10:32:56.503000;2.218.078;24;93;0;100;2021-07-20 14:43:45.684000;51867BAD;Portugal;Portugal;DATA EXPIRED;Portuguese;Portuguese, English;Portugal;Female;DATA EXPIRED
60f6a99a9ff997b47d8b0429;5f932ac4ef581b0d9d1605b3;APPROVED;2021-07-20 10:47:03.419000;2021-07-20 11:13:30.943000;1.587.524;19;123;3;98;2021-07-20 14:44:26.243000;51867BAD;Ukraine;Czech Republic;Part-Time;Czech;Czech, English, Russian;Czech Republic;Male;Yes
60f6a838f2e71e101f81abe5;5f9aa9519663011dd91fb37b;APPROVED;2021-07-20 10:41:59.973000;2021-07-20 11:27:59.220000;2.759.247;35;93;0;100;2021-07-20 14:45:05.610000;51867BAD;Argentina;Spain;DATA EXPIRED;Spanish;Spanish, English;Spain;Female;DATA EXPIRED
