session_id;PROLIFIC_PID;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60acca413ef12de9057ad737;5b82d4fda284bc000193094c;APPROVED;2021-05-25 09:59:36.422000;2021-05-25 10:23:18.775000;1.422.353;30;731;6;99;2021-05-28 10:39:20.973000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60acd6249688e76208dff18f;5b9bb0fde43a4800019b52b5;APPROVED;2021-05-25 10:49:11.767000;2021-05-25 11:20:31.955000;1.880.188;64;316;2;99;2021-05-28 10:39:32.009000;51867BAD;India;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);Urdu;English;United Kingdom;Female;No
60acc82e9f71bbfa349b08c0;5ba8a1d2c16a9c0001497a21;APPROVED;2021-05-25 09:50:05.759000;2021-05-25 10:10:51.624000;1.245.865;29;340;1;100;2021-05-28 10:39:39.950000;51867BAD;Belgium;Belgium;Full-Time;Dutch;English, Dutch, French;Belgium;Male;No
60acc80b5eef2a0cd8a6753b;5baa0fd76460a30001304884;APPROVED;2021-05-25 09:48:59.421000;2021-05-25 10:10:21.256000;1.281.835;40;377;3;100;2021-05-28 10:39:53.820000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60ace6813a4f682ec3b57940;5be0662dea836b0001e9870f;APPROVED;2021-05-25 11:59:37.021000;2021-05-25 12:15:34.256000;957.235;42;672;2;100;2021-05-28 10:40:01.023000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60ace8a0fdbb1d23c9ef915b;5be221f2445f1e0001f860f1;APPROVED;2021-05-25 12:08:00.914000;2021-05-25 12:25:46.873000;1.065.959;23;204;1;100;2021-05-28 10:40:08.232000;51867BAD;Latvia;Latvia;Full-Time;Latvian;Latvian, English;Latvia;Female;Yes
60acc7fad88505f4f8f31322;5bfbf9b5d888320001435109;APPROVED;2021-05-25 09:51:29.580000;2021-05-25 10:15:36.863000;1.447.283;45;143;0;100;2021-05-28 10:40:15.492000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60acc947d377204236f8c553;5c014f0c1a20110001e92756;APPROVED;2021-05-25 09:54:19.013000;2021-05-25 10:15:24.684000;1.265.671;51;298;2;100;2021-05-28 10:40:22.962000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60acbd68e816118a246bcb2f;5c083bf7133f8700012f74fe;APPROVED;2021-05-25 09:03:43.972000;2021-05-25 09:25:38.702000;1314.73;44;458;1;100;2021-05-28 10:40:37.887000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60acc845eddd15886df1c259;5c364ce2ba92810001db13e8;APPROVED;2021-05-25 09:54:37.096000;2021-05-25 10:15:17.424000;1.240.328;57;644;1;100;2021-05-28 10:40:51.111000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Male;No
60acc93fd15f5af721928547;5c435c2a3526c80001fc932c;APPROVED;2021-05-25 09:54:31.083000;2021-05-25 10:18:05.460000;1.414.377;22;500;0;100;2021-05-28 10:41:02.247000;51867BAD;United Kingdom;United Kingdom;Unemployed (and job seeking);English;English;United Kingdom;Male;No
60acd8bce5bcd4059ac93bfe;5c50a48b92acd60001b26b56;APPROVED;2021-05-25 11:00:14.486000;2021-05-25 11:34:21.426000;2046.94;39;70;0;100;2021-05-28 10:41:11.237000;51867BAD;Austria;Austria;Other;Arabic;English, German;Austria;Female;No
60ace0ff2f40d03602be33d2;5c5b55ce32810e0001c3456b;APPROVED;2021-05-25 11:35:30.781000;2021-05-25 11:55:13.099000;1.182.318;53;478;3;100;2021-05-28 10:41:18.826000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English, Czech;United Kingdom;Male;No
60acd65b40ed59d76cb2109b;5c5d36bc034e280001644c3b;APPROVED;2021-05-25 10:50:07.436000;2021-05-25 11:13:25.471000;1.398.035;52;769;11;98;2021-05-28 10:42:09.895000;51867BAD;Zimbabwe;United Kingdom;Full-Time;English;English;United Kingdom;Female;No
60acc8d6f8bf44a07947b6ab;5c60501d767686000100150c;APPROVED;2021-05-25 09:52:25.397000;2021-05-25 10:12:21.155000;1.195.758;52;669;3;100;2021-05-28 10:42:18.614000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
