workerId,prolific_id,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,IUS_tot,IUS_prospective,IUS_inhibitory,age,sex
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,30,80,80,1,1,1,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,30,40,55,1,2,1,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neg,30,0,100,1,3,2,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,30,60,70,1,4,3,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,90,60,70,1,5,2,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,70,60,70,1,6,3,red,1,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,70,20,89,1,7,4,red,1,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,10,20,89,1,8,4,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,80,20,89,1,9,5,red,1,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,80,50,55,1,10,5,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,80,70,60,1,11,6,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,50,70,60,1,12,6,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neg,50,40,56,1,13,7,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,15,40,56,1,14,7,blue,1,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neg,15,10,100,1,15,8,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,15,90,70,1,16,9,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,15,91,60,1,17,10,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,60,91,60,1,18,8,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,17,91,60,1,19,9,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,33,91,60,1,20,10,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,33,13,100,1,21,11,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,60,13,100,1,22,11,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,60,95,100,1,23,12,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,54,95,100,1,24,12,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neu,54,74,40,1,25,13,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,val_arr,neg,54,6,76,1,26,14,red,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neg,25,6,76,1,27,13,blue,1,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,7,6,76,1,28,14,blue,0,29,23,6,19,Female
14491,5f1fa3ea0a82d11cc6c47b65,UG,exp,neu,35,6,76,1,29,15,blue,0,29,23,6,19,Female
