workerId,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,age,sex,ITI,ISI,response_time_ISI_EXP,response_time_SAM_valence,response_time_SAM_arousal,timing_S1,timing_S2
14491,UG,val_arr,neg,70,12,92,2,57,28,neg,0,19,Female,998,1000,2520,2616,2465,250,1000
14491,UG,exp,neg,70,12,92,2,58,30,neg,0,19,Female,810,1000,2918,2616,2465,250,1000
14491,UG,val_arr,neg,70,0,61,2,59,29,neg,0,19,Female,1137,1000,2918,1878,1812,250,1000
14491,UG,exp,neu,21,0,61,2,60,31,neu,0,19,Female,890,1000,2267,1878,1812,250,1000
14491,UG,val_arr,neg,21,39,61,2,61,30,neg,0,19,Female,928,1000,2267,2331,1768,250,1000
14491,UG,exp,neg,31,39,61,2,62,32,neg,0,19,Female,1061,1000,2431,2331,1768,250,1000
14491,UG,exp,neg,57,39,61,2,63,33,neg,0,19,Female,1059,1000,4073,2331,1768,250,1000
14491,UG,val_arr,neg,57,0,100,2,64,31,neg,0,19,Female,1163,1000,4073,1943,1178,250,1000
14491,UG,val_arr,neg,57,0,100,2,65,32,neg,0,19,Female,1127,1000,4073,2037,1214,250,1000
14491,UG,val_arr,neu,57,54,42,2,66,33,neu,0,19,Female,855,1000,4073,1893,1552,250,1000
14491,UG,val_arr,neg,57,36,64,2,67,34,neu,1,19,Female,897,1000,4073,2717,1284,250,1000
14491,UG,val_arr,neg,57,36,84,2,68,35,neu,1,19,Female,1018,1000,4073,2572,930,250,1000
14491,UG,val_arr,neg,57,35,66,2,69,36,neg,0,19,Female,962,1000,4073,2765,948,250,1000
14491,UG,exp,neg,65,35,66,2,70,34,neg,0,19,Female,923,1000,2984,2765,948,250,1000
14491,UG,exp,neg,41,35,66,2,71,35,neu,1,19,Female,828,1000,1429,2765,948,250,1000
14491,UG,exp,neg,71,35,66,2,72,36,neu,1,19,Female,943,1000,2477,2765,948,250,1000
14491,UG,val_arr,neg,71,15,88,2,73,37,neg,0,19,Female,885,1000,2477,1710,1563,250,1000
14491,UG,exp,neu,32,15,88,2,74,37,neg,1,19,Female,892,1000,1991,1710,1563,250,1000
14491,UG,exp,neg,57,15,88,2,75,38,neg,0,19,Female,874,1000,2516,1710,1563,250,1000
14491,UG,exp,neu,50,15,88,2,76,39,neu,0,19,Female,996,1000,2220,1710,1563,250,1000
14491,UG,val_arr,neu,50,87,8,2,77,38,neu,0,19,Female,815,1000,2220,1573,2275,250,1000
14491,UG,exp,neu,21,87,8,2,78,40,neu,0,19,Female,865,1000,2281,1573,2275,250,1000
14491,UG,val_arr,neg,21,9,77,2,79,39,neg,0,19,Female,947,1000,2281,2408,2258,250,1000
14491,UG,val_arr,neu,21,98,8,2,80,40,neu,0,19,Female,952,1000,2281,2355,1811,250,1000
14488,CG,exp,neg,0,36,76,1,1,1,neg,0,21,Male,891,1000,17420,NA,NA,250,1000
14488,CG,exp,neg,73,36,76,1,2,2,neu,1,21,Male,1142,1000,3815,NA,NA,250,1000
14488,CG,val_arr,neg,73,23,38,1,3,1,neg,0,21,Male,1074,1000,3815,3234,2715,250,1000
14488,CG,val_arr,neu,73,100,67,1,4,2,neg,1,21,Male,1194,1000,3815,2017,1693,250,1000
14488,CG,exp,neu,100,100,67,1,5,3,neu,0,21,Male,1009,1000,3264,2017,1693,250,1000
14488,CG,val_arr,neg,100,37,42,1,6,3,neg,0,21,Male,1074,1000,3264,5287,16926,250,1000
14488,CG,exp,neu,80,37,42,1,7,4,neu,0,21,Male,863,1000,2783,5287,16926,250,1000
14488,CG,val_arr,neg,80,34,75,1,8,4,neg,0,21,Male,1101,1000,2783,64760,2645,250,1000
14488,CG,exp,neg,37,34,75,1,9,5,neg,0,21,Male,1100,1000,2740,64760,2645,250,1000
14488,CG,exp,neu,58,34,75,1,10,6,neu,0,21,Male,891,1000,2316,64760,2645,250,1000
14488,CG,val_arr,neg,58,0,59,1,11,5,neg,0,21,Male,847,1000,2316,25237,1713,250,1000
14488,CG,val_arr,neg,58,41,38,1,12,6,neu,1,21,Male,829,1000,2316,2246,1983,250,1000
14488,CG,val_arr,neu,58,60,36,1,13,7,neu,0,21,Male,978,1000,2316,11500,1771,250,1000
14488,CG,val_arr,neg,58,18,100,1,14,8,neg,0,21,Male,1180,1000,2316,1997,1668,250,1000
14488,CG,exp,neu,69,18,100,1,15,7,neg,1,21,Male,1124,1000,4297,1997,1668,250,1000
14488,CG,val_arr,neu,69,68,26,1,16,9,neu,0,21,Male,1194,1000,4297,3276,2860,250,1000
14488,CG,val_arr,neg,69,14,58,1,17,10,neg,0,21,Male,946,1000,4297,5379,19317,250,1000
14488,CG,exp,neg,70,14,58,1,18,8,neg,0,21,Male,1143,1000,3211,5379,19317,250,1000
14488,CG,exp,neu,26,14,58,1,19,9,neu,0,21,Male,995,1000,20293,5379,19317,250,1000
14488,CG,val_arr,neu,26,45,55,1,20,11,neu,0,21,Male,1175,1000,20293,5996,2404,250,1000
14488,CG,exp,neg,64,45,55,1,21,10,neg,0,21,Male,980,1000,3119,5996,2404,250,1000
14488,CG,exp,neg,81,45,55,1,22,11,neu,1,21,Male,1051,1000,18542,5996,2404,250,1000
14488,CG,exp,neu,0,45,55,1,23,12,neu,0,21,Male,932,1000,2380,5996,2404,250,1000
14488,CG,val_arr,neu,0,63,8,1,24,12,neu,0,21,Male,1026,1000,2380,17520,24086,250,1000
14488,CG,val_arr,neg,0,20,69,1,25,13,neg,0,21,Male,1094,1000,2380,2311,2323,250,1000
14488,CG,val_arr,neg,0,30,43,1,26,14,neu,1,21,Male,839,1000,2380,2491,2466,250,1000
14488,CG,val_arr,neu,0,63,20,1,27,15,neg,1,21,Male,946,1000,2380,1878,2894,250,1000
14488,CG,exp,neu,25,63,20,1,28,13,neg,1,21,Male,1077,1000,2779,1878,2894,250,1000
14488,CG,val_arr,neg,25,0,24,1,29,16,neg,0,21,Male,907,1000,2779,7628,1987,250,1000
14488,CG,val_arr,neu,25,87,0,1,30,17,neu,0,21,Male,1102,1000,2779,2226,1630,250,1000
14488,CG,exp,neg,0,87,0,1,31,14,neg,0,21,Male,963,1000,2176,2226,1630,250,1000
14488,CG,val_arr,neg,0,29,59,1,32,18,neu,1,21,Male,1159,1000,2176,2378,2996,250,1000
14488,CG,exp,neu,57,29,59,1,33,15,neu,0,21,Male,982,1000,3419,2378,2996,250,1000
14488,CG,val_arr,neu,57,72,21,1,34,19,neu,0,21,Male,1131,1000,3419,13196,1861,250,1000
14488,CG,exp,neg,89,72,21,1,35,16,neu,1,21,Male,1182,1000,2688,13196,1861,250,1000
14488,CG,exp,neg,34,72,21,1,36,17,neu,1,21,Male,1194,1000,20083,13196,1861,250,1000
14488,CG,exp,neu,100,72,21,1,37,18,neu,0,21,Male,849,1000,2160,13196,1861,250,1000
14488,CG,exp,neu,50,72,21,1,38,19,neu,0,21,Male,942,1000,1432,13196,1861,250,1000
14488,CG,exp,neu,73,72,21,1,39,20,neu,0,21,Male,987,1000,2909,13196,1861,250,1000
14488,CG,exp,neg,66,72,21,1,40,21,neg,0,21,Male,907,1000,2450,13196,1861,250,1000
