workerId,prolific_id,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,IUS_tot,IUS_prospective,IUS_inhibitory,age,sex
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,50,100,1,1,1,1,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,50,100,1,1,2,2,red,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,25,100,1,1,3,3,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,25,100,1,1,4,4,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,10,100,1,1,5,5,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,16,100,1,1,6,6,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,67,100,1,1,7,7,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,67,20,70,1,8,1,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,67,25,60,1,9,2,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,67,81,10,1,10,3,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,67,100,0,1,11,4,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,67,35,33,1,12,5,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,67,100,0,1,13,6,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,5,100,0,1,14,8,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,5,85,10,1,15,7,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,76,85,10,1,16,9,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,76,95,8,1,17,8,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,76,15,50,1,18,9,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,76,75,21,1,19,10,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,76,11,50,1,20,11,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,0,11,50,1,21,10,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,0,30,50,1,22,12,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,0,90,10,1,23,13,red,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,80,90,10,1,24,11,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,80,100,0,1,25,14,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,3,100,0,1,26,12,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,3,0,100,1,27,15,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,92,0,100,1,28,13,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,92,100,0,1,29,16,red,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,92,0,100,1,30,17,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,92,100,0,1,31,18,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,92,21,79,1,32,19,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,92,100,0,1,33,20,red,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,92,100,10,1,34,21,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,92,100,4,1,35,22,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,92,15,89,1,36,23,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,92,20,66,1,37,24,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,3,20,66,1,38,14,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,2,20,66,1,39,15,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,2,86,17,1,40,25,red,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,2,0,100,2,41,26,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,99,0,100,2,42,16,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,3,0,100,2,43,17,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,99,0,100,2,44,18,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,1,0,100,2,45,19,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,1,5,85,2,46,27,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,95,5,85,2,47,20,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,10,5,85,2,48,21,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,10,22,64,2,49,28,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,100,22,64,2,50,22,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,98,22,64,2,51,23,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,98,21,61,2,52,29,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,98,100,0,2,53,30,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,5,100,0,2,54,24,blue,1,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,5,100,0,2,55,31,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,10,100,0,2,56,25,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,8,100,0,2,57,26,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,100,100,0,2,58,27,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,90,100,0,2,59,28,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,6,100,0,2,60,29,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neu,6,100,0,2,61,32,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neg,90,100,0,2,62,30,red,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,12,100,0,2,63,31,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,exp,neu,18,100,0,2,64,32,blue,0,41,22,19,21,Male
12547,6083ff657cad22aaf2f462ad,UG,val_arr,neg,18,50,34,2,65,33,red,0,41,22,19,21,Male
