workerId,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,age,sex,ITI,ISI,response_time_ISI_EXP,response_time_SAM_valence,response_time_SAM_arousal,timing_S1,timing_S2
12547,UG,exp,neu,8,100,0,2,57,26,neu,0,21,Male,940,1000,7965,2878,1023,250,1000
12547,UG,exp,neg,100,100,0,2,58,27,neg,0,21,Male,878,1000,2915,2878,1023,250,1000
12547,UG,exp,neg,90,100,0,2,59,28,neg,0,21,Male,870,1000,5772,2878,1023,250,1000
12547,UG,exp,neu,6,100,0,2,60,29,neu,0,21,Male,1011,1000,4708,2878,1023,250,1000
12547,UG,val_arr,neu,6,100,0,2,61,32,neu,0,21,Male,1016,1000,4708,2160,994,250,1000
12547,UG,exp,neg,90,100,0,2,62,30,neg,0,21,Male,1121,1000,9532,2160,994,250,1000
12547,UG,exp,neu,12,100,0,2,63,31,neu,0,21,Male,946,1000,9414,2160,994,250,1000
12547,UG,exp,neu,18,100,0,2,64,32,neu,0,21,Male,1077,1000,6443,2160,994,250,1000
12547,UG,val_arr,neg,18,50,34,2,65,33,neg,0,21,Male,1000,1000,6443,3661,3069,250,1000
12547,UG,exp,neu,20,50,34,2,66,33,neu,0,21,Male,1068,1000,4128,3661,3069,250,1000
12547,UG,exp,neu,15,50,34,2,67,34,neu,0,21,Male,938,1000,2578,3661,3069,250,1000
12547,UG,val_arr,neg,15,10,73,2,68,34,neg,0,21,Male,1119,1000,2578,2358,1539,250,1000
12547,UG,val_arr,neg,15,0,60,2,69,35,neu,1,21,Male,879,1000,2578,2917,2115,250,1000
12547,UG,val_arr,neu,15,100,0,2,70,36,neg,1,21,Male,873,1000,2578,2168,1107,250,1000
12547,UG,exp,neu,100,100,0,2,71,35,neg,1,21,Male,921,1000,5904,2168,1107,250,1000
12547,UG,exp,neg,100,100,0,2,72,36,neg,0,21,Male,1123,1000,6310,2168,1107,250,1000
12547,UG,val_arr,neu,100,50,33,2,73,37,neu,0,21,Male,976,1000,6310,9093,3793,250,1000
12547,UG,exp,neg,95,50,33,2,74,37,neg,0,21,Male,830,1000,3609,9093,3793,250,1000
12547,UG,val_arr,neg,95,11,60,2,75,38,neg,0,21,Male,967,1000,3609,2804,1902,250,1000
12547,UG,val_arr,neu,95,50,90,2,76,39,neu,0,21,Male,1025,1000,3609,5122,4178,250,1000
12547,UG,exp,neu,95,50,90,2,77,38,neg,1,21,Male,1068,1000,4703,5122,4178,250,1000
12547,UG,exp,neu,100,50,90,2,78,39,neg,1,21,Male,1062,1000,1527,5122,4178,250,1000
12547,UG,val_arr,neg,100,21,53,2,79,40,neg,0,21,Male,1167,1000,1527,2213,2992,250,1000
12547,UG,exp,neu,100,21,53,2,80,40,neg,1,21,Male,985,1000,3154,2213,2992,250,1000
12546,CG,val_arr,neg,61,24,60,1,1,1,neg,0,57,Female,975,1000,NA,6111,5116,250,1000
12546,CG,exp,neg,68,24,60,1,2,1,neg,0,57,Female,912,1000,6930,6111,5116,250,1000
12546,CG,val_arr,neg,68,13,59,1,3,2,neg,0,57,Female,845,1000,6930,5810,3450,250,1000
12546,CG,val_arr,neu,68,50,26,1,4,3,neu,0,57,Female,1190,1000,6930,3914,3748,250,1000
12546,CG,exp,neu,78,50,26,1,5,2,neg,1,57,Female,980,1000,7120,3914,3748,250,1000
12546,CG,val_arr,neg,78,13,62,1,6,4,neg,0,57,Female,883,1000,7120,5686,3816,250,1000
12546,CG,val_arr,neg,78,23,60,1,7,5,neu,1,57,Female,895,1000,7120,4833,4313,250,1000
12546,CG,val_arr,neg,78,33,63,1,8,6,neg,0,57,Female,1115,1000,7120,4534,3565,250,1000
12546,CG,val_arr,neu,78,68,29,1,9,7,neg,1,57,Female,854,1000,7120,3843,2830,250,1000
12546,CG,exp,neg,57,68,29,1,10,3,neg,0,57,Female,1000,1000,3785,3843,2830,250,1000
12546,CG,val_arr,neg,57,8,67,1,11,8,neg,0,57,Female,1057,1000,3785,7938,3940,250,1000
12546,CG,exp,neg,63,8,67,1,12,4,neg,0,57,Female,1118,1000,5183,7938,3940,250,1000
12546,CG,val_arr,neg,63,36,55,1,13,9,neg,0,57,Female,1041,1000,5183,3667,6068,250,1000
12546,CG,exp,neg,44,36,55,1,14,5,neu,1,57,Female,968,1000,5618,3667,6068,250,1000
12546,CG,val_arr,neg,44,11,63,1,15,10,neg,0,57,Female,1151,1000,5618,4228,2989,250,1000
12546,CG,val_arr,neg,44,50,50,1,16,11,neu,1,57,Female,945,1000,5618,3898,1055,250,1000
12546,CG,val_arr,neg,44,38,54,1,17,12,neu,1,57,Female,941,1000,5618,3290,3845,250,1000
12546,CG,val_arr,neg,44,42,50,1,18,13,neg,0,57,Female,1020,1000,5618,4185,2259,250,1000
12546,CG,exp,neu,53,42,50,1,19,6,neg,1,57,Female,851,1000,6023,4185,2259,250,1000
12546,CG,exp,neu,50,42,50,1,20,7,neu,0,57,Female,844,1000,2532,4185,2259,250,1000
12546,CG,exp,neg,50,42,50,1,21,8,neg,0,57,Female,1186,1000,2681,4185,2259,250,1000
12546,CG,val_arr,neg,50,50,50,1,22,14,neg,0,57,Female,1116,1000,2681,2455,982,250,1000
12546,CG,val_arr,neg,50,35,50,1,23,15,neg,0,57,Female,1121,1000,2681,3399,2598,250,1000
12546,CG,exp,neu,50,35,50,1,24,9,neu,0,57,Female,846,1000,1944,3399,2598,250,1000
12546,CG,val_arr,neu,50,82,42,1,25,16,neg,1,57,Female,1038,1000,1944,5346,4710,250,1000
12546,CG,exp,neg,50,82,42,1,26,10,neg,0,57,Female,1157,1000,1716,5346,4710,250,1000
12546,CG,val_arr,neu,50,58,50,1,27,17,neu,0,57,Female,1183,1000,1716,5269,1698,250,1000
12546,CG,exp,neg,50,58,50,1,28,11,neg,0,57,Female,1095,1000,2542,5269,1698,250,1000
12546,CG,val_arr,neu,50,55,50,1,29,18,neu,0,57,Female,1197,1000,2542,8845,1259,250,1000
12546,CG,exp,neu,50,55,50,1,30,12,neu,0,57,Female,1147,1000,3671,8845,1259,250,1000
12546,CG,exp,neu,50,55,50,1,31,13,neu,0,57,Female,900,1000,1649,8845,1259,250,1000
12546,CG,val_arr,neu,50,74,50,1,32,19,neu,0,57,Female,911,1000,1649,4164,1699,250,1000
12546,CG,exp,neg,50,74,50,1,33,14,neg,0,57,Female,1092,1000,2105,4164,1699,250,1000
12546,CG,val_arr,neg,50,46,50,1,34,20,neg,0,57,Female,1065,1000,2105,3957,2830,250,1000
12546,CG,exp,neg,50,46,50,1,35,15,neg,0,57,Female,932,1000,1860,3957,2830,250,1000
12546,CG,exp,neu,45,46,50,1,36,16,neg,1,57,Female,861,1000,3417,3957,2830,250,1000
12546,CG,exp,neu,50,46,50,1,37,17,neg,1,57,Female,1011,1000,1690,3957,2830,250,1000
12546,CG,exp,neu,50,46,50,1,38,18,neu,0,57,Female,1019,1000,2700,3957,2830,250,1000
12546,CG,val_arr,neu,50,57,50,1,39,21,neu,0,57,Female,817,1000,2700,4076,1312,250,1000
12546,CG,val_arr,neg,50,29,50,1,40,22,neu,1,57,Female,807,1000,2700,3382,4261,250,1000
